url;article;h1;title;meta_description;target_cluster
https://sklad-shop-production.up.railway.app/product/avtoruchka-v-futlyare-krasnoe-derevo-140812;140812;Авторучка в футляре из красного дерева;Ручка в футляре из красного дерева — купить | СкладПромо;Подарочная ручка в футляре из красного дерева. Арт. 140812. В наличии на складе: 104 шт. Цена 573 ₽. Опт — по запросу.;ручка в футляре
https://sklad-shop-production.up.railway.app/product/brelok-metall-kruglyy-4-kolechka-d-220223;220223;Металлический брелок для ключей с 4 кольцами и карабином;Брелок для ключей с 4 кольцами — купить | СкладПромо;Металлический брелок для ключей с 4 кольцами и карабином. Арт. 220223. В наличии: 26 шт. Цена 315 ₽. Опт — по запросу.;брелок для ключей
https://sklad-shop-production.up.railway.app/product/brelok-zerkalo-metall-pryamougolnyy-v-met-220323;220323;Металлический брелок-зеркало в футляре;Брелок-зеркало в металлическом футляре — купить | СкладПромо;Прямоугольный металлический брелок-зеркало в футляре. Арт. 220323. В наличии на складе: 133 шт. Цена 309 ₽. Опт — по запросу.;брелок для ключей
https://sklad-shop-production.up.railway.app/product/brelok-metall-dva-klyucha-220423;220423;Металлический брелок «Два ключа»;Брелок «Два ключа» металлический — купить | СкладПромо;Металлический брелок для ключей «Два ключа». Арт. 220423. В наличии: 9 шт. Цена 111 ₽. Опт — по запросу.;брелок для ключей
https://sklad-shop-production.up.railway.app/product/brelok-metallicheskiy-s-nozhikom-i-otkryvashkoy-230223;230223;Металлический брелок с ножиком и открывалкой;Брелок-открывалка с ножом — купить | СкладПромо;Металлический брелок с ножиком и открывалкой для бутылок. Арт. 230223. В наличии: 62 шт. Цена 60 ₽. Опт — по запросу.;брелок открывалка
https://sklad-shop-production.up.railway.app/product/brelok-otkryvalka-tvist-plastik-belyy-led-230352;230352;Пластиковый брелок-открывалка «Твист»;Брелок-открывалка «Твист» — купить | СкладПромо;Пластиковый брелок-открывалка «Твист» белого цвета. Арт. 230352. В наличии: 69 шт. Цена 153 ₽. Опт — по запросу.;брелок открывалка
https://sklad-shop-production.up.railway.app/product/brelok-kompas-v-vide-probki-240302;240302;Брелок «Компас» в виде пробки;Брелок «Компас» в виде пробки — купить | СкладПромо;Брелок «Компас» в виде пробки. Арт. 240302. В наличии на складе: 450 шт. Цена 66 ₽. Опт — по запросу.;брелок для ключей
https://sklad-shop-production.up.railway.app/product/brelok-mnogofunkcionalnyy-instrument-v-vide-ovala-240923;240923;Овальный многофункциональный брелок-инструмент;Многофункциональный брелок-инструмент — купить | СкладПромо;Овальный многофункциональный брелок-инструмент. Арт. 240923. В наличии: 97 шт. Цена 417 ₽. Опт — по запросу.;брелок для ключей
https://sklad-shop-production.up.railway.app/product/brelok-igrushka-plyushevyy-mishka-korichnevyy-s-250120;250120;Плюшевый брелок-игрушка «Мишка»;Плюшевый брелок-игрушка «Мишка» — купить | СкладПромо;Плюшевый брелок-игрушка «Мишка» коричневого цвета. Арт. 250120. В наличии: 11 шт. Цена 120 ₽. Опт — по запросу.;брелок для ключей
https://sklad-shop-production.up.railway.app/product/brelok-akrilovyy-turs-s-metal-vstavkoy-250255;250255;Акриловый брелок «Турс» с металлической вставкой;Акриловый брелок «Турс» — купить | СкладПромо;Акриловый брелок «Турс» с металлической вставкой синего цвета. Арт. 250255. В наличии: 97 шт. Цена 156 ₽. Опт — по запросу.;брелок для ключей
