query;impressions_russia;page_scope;cluster;intent;decision
сувенирная продукция;35448;Главная;Общий каталог;коммерческий и смешанный;Целевой для главной и не использовать в карточках
изготовление сувенирной продукции;5482;Не продвигать до запуска собственного производства;Изготовление;коммерческий;Не использовать — склад не является производителем
сувенирная продукция с логотипом;3143;Лендинг услуги нанесения;Нанесение логотипа;коммерческий;Использовать только после подтверждения партнёрского SLA и условий
сувенирная продукция на заказ;1465;Лендинг услуги нанесения;Заказная продукция;коммерческий;Не использовать в товарных Title без отдельной услуги
сувениры с логотипом;2453;Лендинг услуги нанесения;Нанесение логотипа;коммерческий;Условно целевой — через партнёрского подрядчика
сувениры с логотипом компании;1526;Лендинг услуги нанесения;Нанесение логотипа;коммерческий;Условно целевой — через партнёрского подрядчика
сувениры с логотипом на заказ;1464;Лендинг услуги нанесения;Нанесение логотипа;коммерческий;Условно целевой — через партнёрского подрядчика
сувениры оптом;2393;Главная и категория Сувениры;Опт;коммерческий;Целевой для категории и главной
купить сувениры оптом;429;Главная и категория Сувениры;Опт;коммерческий;Целевой для категории и главной
корпоративные подарки;6894;Главная и категория Бизнес-подарки;Корпоративные подарки;коммерческий и сезонный;Целевой для главной и тематических подборок
корпоративные подарки с логотипом;346;Лендинг услуги нанесения;Нанесение логотипа;коммерческий;Только при реальной партнёрской услуге
бизнес подарки;3352;Главная и категория Бизнес-подарки;Деловые подарки;коммерческий и смешанный;Целевой для главной и подборок
бизнес подарки клиентам;250;Подборка Подарки клиентам;Деловые подарки;коммерческий и смешанный;Целевой для подборки
рекламные сувениры;459;Главная или категория Промо-товары;Промо;коммерческий;Целевой для верхнего уровня сайта
распродажи сувениров;20;Динамическая страница Распродажа;Распродажа;коммерческий;Низкий спрос — использовать как оффер и навигационный раздел, а не главный SEO-драйвер
сувенирная продукция оптом;171;Главная и категория Сувениры;Опт;коммерческий;Целевой для категории
брелок для ключей;20369;Категория Брелоки и товарные карточки;Брелоки;смешанный;Целевой только с уточнителями материала и назначения
купить брелок для ключей;2257;Категория Брелоки;Брелоки;коммерческий;Целевой для категории
брелок для ключей металлический;196;Карточки металлических брелоков;Брелоки;коммерческий;Целевой для соответствующих SKU
брелок фонарик;2357;Категория Брелоки-фонарики и карточки;Брелоки-фонарики;коммерческий;Целевой для двух SKU-фонариков
фонарик брелок купить;197;Карточки брелоков-фонариков;Брелоки-фонарики;коммерческий;Целевой
брелок открывалка;244;Карточка брелока-открывалки;Брелоки-открывалки;коммерческий;Целевой
открывалка для бутылок;1116;Категория Открывалки и карточки;Открывалки;коммерческий;Целевой для бутылочных открывалок
купить открывалку для бутылок;69;Категория Открывалки и карточки;Открывалки;коммерческий;Целевой
ручка в футляре;1002;Карточка авторучки в футляре;Подарочные ручки;коммерческий;Целевой
ручки подарочные в футляре;262;Карточка авторучки в футляре;Подарочные ручки;коммерческий;Целевой
ручки в футлярах купить;88;Карточка авторучки в футляре;Подарочные ручки;коммерческий;Целевой
деревянная ручка в деревянном футляре;53;Карточка авторучки в футляре;Подарочные ручки;коммерческий;Целевой
купить настольные часы;8845;Категория Настольные часы и карточки;Часы;коммерческий;Целевой с типом и характеристиками
настольные часы цена;688;Категория Настольные часы;Часы;коммерческий;Целевой для категории
дорожный будильник;266;Карточки дорожных будильников;Часы;коммерческий и ретро;Целевой при указании современного состояния товара
дорожные часы будильник;94;Карточки дорожных будильников;Часы;коммерческий;Целевой
метеостанция купить;4439;Категория Метеостанции и карточки;Метеостанции;коммерческий;Целевой только без неподтверждённых функций датчика и прогноза
купить метеостанцию для дома;911;Категория Метеостанции;Метеостанции;коммерческий;Целевой если потребительский сценарий подтверждён характеристиками
визитница купить;807;Категория Визитницы и карточки;Визитницы;коммерческий;Целевой
визитница для карт купить;166;Карточка футляра для карт и визитниц;Визитницы и карты;коммерческий;Целевой
купить папку для документов;2380;Категория Папки и карточки;Папки;коммерческий;Целевой
купить папку для документов А4;398;Карточки папок;Папки;коммерческий;Использовать только при подтверждённом формате А4
купить портфель;8432;Категория Портфели;Портфели;смешанный;Целевой с уточнителями кожаный или менеджера
купить кожаный портфель;1638;Карточки кожаных портфелей;Портфели;коммерческий;Целевой
USB Hub купить;411;Категория USB-хабы и карточки;USB-хабы;коммерческий;Целевой
сумка холодильник купить;10059;Категория Сумки-холодильники и карточки;Товары для поездок;коммерческий;Целевой без неподтверждённых объёма и хладоэлементов
купить зонт трость;3227;Категория Зонты-трости и карточка;Зонты;коммерческий;Целевой
бейдж купить;3097;Категория Бейджи;Бейджи;коммерческий;Целевой
бейдж с окошком;155;Карточки бейджей с окошком;Бейджи;коммерческий;Целевой
набор для вина купить;242;Карточки наборов для вина;Наборы для вина;коммерческий;Целевой
маникюрный набор купить;2601;Карточка маникюрного набора;Дорожные наборы;коммерческий;Целевой
термокружка купить;5983;Карточка кружки-термоса;Термокружки;коммерческий;Целевой
театральный бинокль купить;995;Карточка бинокля Опера;Бинокли;коммерческий;Целевой
купить шейный платок;802;Карточка шейного платка;Аксессуары;коммерческий;Целевой
подушка дорожная купить;721;Карточка дорожной подушки;Товары для поездок;коммерческий;Целевой
зеркало карманное купить;414;Карточки карманных зеркал;Аксессуары;коммерческий;Целевой
косметички дорожные купить;307;Карточка дорожной косметички;Товары для поездок;коммерческий;Целевой
глобус настольный купить;344;Карточка настольного глобуса;Настольные аксессуары;коммерческий;Целевой с описанием материала и сценария
подставки для ручек купить;153;Карточка подставки для ручек;Офисные аксессуары;коммерческий;Целевой
радиоприёмник с часами купить;217;Карточка радиоприёмника;Электроника;коммерческий;Целевой
купить набор инструментов;21462;Не использовать без уточнения состава;Наборы инструментов;коммерческий;Слишком широкий спрос — не соответствует SKU без полного состава и назначения
купить брелок;57952;Не использовать как основной запрос;Брелоки;смешанный;В выдаче доминируют сигнализации и фандомные товары
брелок сигнализации;166664;Не использовать;Автосигнализации;коммерческий;Нецелевой — сайт не продаёт брелоки сигнализаций
купить набор инструментов для автомобиля;2689;Не использовать;Автоинструменты;коммерческий;Нецелевой — если в SKU нет автомобильного назначения
изготовление бейджей;912;Не использовать;Изготовление;коммерческий;Нецелевой — готовые бейджи не равны услуге изготовления
